"Time","rskj-miner1","rskj-miner2","rskj-miner4","rskj-node1","rskj-miner1","rskj-miner2","rskj-miner4","rskj-node1"
2026-02-09 23:08:00,38.4 KiB,2.62 KiB,2.60 KiB,2.58 KiB,-42.9 KiB,-11.0 KiB,-11.0 KiB,-10.9 KiB
2026-02-09 23:10:00,36.6 KiB,2.20 KiB,2.19 KiB,2.18 KiB,-40.9 KiB,-10.7 KiB,-10.7 KiB,-10.6 KiB
2026-02-09 23:12:00,36.8 KiB,2.98 KiB,2.98 KiB,2.99 KiB,-41.7 KiB,-11.4 KiB,-11.4 KiB,-11.2 KiB
2026-02-09 23:14:00,36.8 KiB,3.00 KiB,3.02 KiB,3.03 KiB,-41.7 KiB,-11.4 KiB,-11.4 KiB,-11.2 KiB
2026-02-09 23:16:00,33.5 KiB,2.30 KiB,2.32 KiB,2.33 KiB,-38.4 KiB,-10.8 KiB,-10.8 KiB,-10.7 KiB
2026-02-09 23:18:00,17.8 KiB,2.28 KiB,2.29 KiB,2.30 KiB,-24.9 KiB,-10.8 KiB,-10.8 KiB,-10.6 KiB
2026-02-09 23:20:00,16.0 KiB,2.24 KiB,2.25 KiB,2.26 KiB,-23.4 KiB,-10.7 KiB,-10.7 KiB,-10.6 KiB
2026-02-09 23:22:00,31.9 KiB,3.08 KiB,3.10 KiB,3.11 KiB,-37.6 KiB,-11.4 KiB,-11.4 KiB,-11.3 KiB
2026-02-09 23:24:00,35.1 KiB,2.32 KiB,2.32 KiB,2.32 KiB,-39.7 KiB,-10.7 KiB,-10.7 KiB,-10.6 KiB
2026-02-09 23:26:00,34.5 KiB,3.03 KiB,3.06 KiB,3.06 KiB,-39.7 KiB,-11.4 KiB,-11.4 KiB,-11.3 KiB
2026-02-09 23:28:00,34.3 KiB,2.27 KiB,2.26 KiB,2.27 KiB,-38.9 KiB,-10.8 KiB,-10.8 KiB,-10.7 KiB
2026-02-09 23:30:00,36.4 KiB,2.20 KiB,2.16 KiB,2.20 KiB,-40.8 KiB,-10.6 KiB,-10.7 KiB,-10.6 KiB
2026-02-09 23:32:00,36.7 KiB,3.24 KiB,3.22 KiB,3.21 KiB,-41.8 KiB,-11.6 KiB,-11.7 KiB,-11.4 KiB
2026-02-09 23:34:00,36.6 KiB,3.10 KiB,3.10 KiB,3.06 KiB,-41.6 KiB,-11.5 KiB,-11.5 KiB,-11.3 KiB
2026-02-09 23:36:00,38.4 KiB,3.05 KiB,3.08 KiB,3.04 KiB,-43.2 KiB,-11.5 KiB,-11.4 KiB,-11.3 KiB
2026-02-09 23:38:00,38.5 KiB,3.05 KiB,3.07 KiB,3.06 KiB,-43.2 KiB,-11.5 KiB,-11.4 KiB,-11.3 KiB
2026-02-09 23:40:00,40.5 KiB,2.42 KiB,2.43 KiB,2.44 KiB,-44.4 KiB,-11.0 KiB,-10.9 KiB,-10.8 KiB
2026-02-09 23:42:00,36.3 KiB,2.99 KiB,2.97 KiB,2.98 KiB,-41.2 KiB,-11.4 KiB,-11.4 KiB,-11.2 KiB
2026-02-09 23:44:00,36.4 KiB,2.98 KiB,2.95 KiB,2.95 KiB,-41.3 KiB,-11.4 KiB,-11.3 KiB,-11.2 KiB
2026-02-09 23:46:00,39.7 KiB,3.07 KiB,3.04 KiB,3.03 KiB,-44.2 KiB,-11.5 KiB,-11.5 KiB,-11.3 KiB
